Date,^IXIC,^GSPC
2019-05-29,7547.31005859375,2783.02001953125
2019-05-30,7567.72021484375,2788.860107421875
2019-05-31,7453.14990234375,2752.06005859375
2019-06-03,7333.02001953125,2744.449951171875
2019-06-04,7527.1201171875,2803.27001953125
2019-06-05,7575.47998046875,2826.14990234375
2019-06-06,7615.5498046875,2843.489990234375
2019-06-07,7742.10009765625,2873.340087890625
2019-06-10,7823.169921875,2886.72998046875
2019-06-11,7822.56982421875,2885.719970703125
2019-06-12,7792.72021484375,2879.840087890625
2019-06-13,7837.1298828125,2891.639892578125
2019-06-14,7796.66015625,2886.97998046875
2019-06-17,7845.02001953125,2889.669921875
2019-06-18,7953.8798828125,2917.75
2019-06-19,7987.31982421875,2926.4599609375
2019-06-20,8051.33984375,2954.179931640625
2019-06-21,8031.7099609375,2950.4599609375
2019-06-24,8005.7001953125,2945.35009765625
2019-06-25,7884.72021484375,2917.3798828125
2019-06-26,7909.97021484375,2913.780029296875
2019-06-27,7967.759765625,2924.919921875
2019-06-28,8006.240234375,2941.760009765625
2019-07-01,8091.16015625,2964.330078125
2019-07-02,8109.08984375,2973.010009765625
