,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF
2021-05-12,603000011.4440918,11608059928.894043,2805941131.134033,10248420626.349482,11563560607.910158,1966082258.1005096,5933979858.398438,,3175018085.6227875,59178059543.45703,5462099927.902222,,2167697408.0,4824089379.920959,3547095616.607666,885252913.1698608,22917681152.0,,573116291.6564105,2218150100.708008,285360004.4250488,,75880001.06811523,3610199890.1367188,8692377804.47925,2023007104.0,27519029806.137085,,64929126013.18359,544920005.7983398,1366295168.0,4796819885.253907,4080978343.965209,8576700172.4243145,4591393073.425293,13074599647.521973,,218460006.7138672,285492904357.91016,5111821731.262207,5202000000.0,2292180106.163025,1675202163.6555943,137655303100.5859,496650006.2942505,103541669082.6416,17970749759.674072,8355619972.229004,4881985024.0,15479382400.545597
2021-05-13,618000011.4440918,11270209751.129152,2665858839.34021,10140330747.224087,11110380050.65918,1862521682.0430756,5808119964.599609,,2962806093.4066772,55315767273.55957,5163479942.321777,,2167697408.0,4634599960.632324,3558523766.784668,845837989.025116,22917681152.0,,556730340.4720088,2188999958.03833,286810009.95635986,,74760002.13623047,3883200073.2421865,8389628453.199784,2023007104.0,27569850969.314575,,64638003717.041016,527440004.3487549,1366295168.0,4677439842.224121,3546691316.3965764,7994749784.4696045,4253363847.465515,12718200302.124023,,217799991.60766602,286552003631.5918,5146170865.6311035,5064667231.750488,2274469942.0928955,1675202163.6555943,133066792480.46875,482129988.6703491,98762132446.28906,17687250480.65185,7648550277.709961,4881985024.0,13513034083.044296
2021-05-14,623444995.880127,12582000000.0,2512885580.329895,10301209068.12621,11655689392.089842,1936269423.942566,6073179946.899414,,3048506914.3772125,53911483181.15234,5348699855.804443,,2167697408.0,4808298720.474243,3688587533.569336,853030489.025116,22917681152.0,,556256273.0603343,2239049949.645996,286810009.95635986,,79589999.19891357,4166999816.8945312,8832456026.30692,2023007104.0,29475600969.314575,,65956533782.958984,882490000.0,1366295168.0,4715979827.880859,3548213536.57082,8542799935.340881,4757297310.752869,13523399848.937988,,218460006.7138672,293085092010.49805,5292576779.708862,5320605536.499023,2363020038.6047363,1675202163.6555943,137796271240.23438,493019986.1526489,104132853057.86131,18651149711.608887,9405760055.541992,4881985024.0,13168847831.04
2021-05-17,618149986.2670898,11789799644.470215,2325536354.1030884,10131114382.844793,11466449493.408203,1914301970.0717926,5933979858.398438,,2783242070.055008,51797759546.20361,5318459884.643555,,2167697408.0,4837248179.130554,3609134383.392334,845262575.8552551,22917681152.0,,544160887.586619,2224750041.96167,286810009.95635986,,77910000.80108643,4348800201.416016,8760157682.620024,2023007104.0,30441178836.82251,,66638484460.44922,877447204.8091888,1366295168.0,4745119956.970215,3577135135.3623285,8678399806.022642,4898315774.040222,13681799697.875977,,217580007.5531006,290788400726.3184,5231199085.922241,5369504463.500977,2307359971.0464478,1675202163.6555943,139241531860.3516,510839984.8937988,101662919082.6416,18714149951.934814,10465000000.0,4881985024.0,13168847831.04
2021-05-18,642749977.1118164,12032119857.788086,2369365773.7731934,10363213891.040337,11809239898.68164,1980204182.0430756,5952539840.698241,,2844456914.3772125,49869740000.0,5371380014.419556,,2167697408.0,4874093720.474243,3600427399.291992,876909586.8301392,22917681152.0,,569021875.5832741,2182400016.784668,287389995.5749512,,85470000.26702881,4432200164.794922,8852037007.652285,2023007104.0,30364949515.342712,,67101093920.89844,911486102.4045944,1366295168.0,4965079971.313477,3787196560.128563,8740550150.871275,4786330384.178162,13860000000.0,,219559989.92919922,289419907989.50195,5346071537.475586,5383029774.627686,2402234971.0464478,1675202163.6555943,143936718139.64844,554399974.822998,101783161834.7168,18701549663.543705,10873589805.603025,4881985024.0,13617785825.28
2021-05-19,628799972.5341797,11754850177.764893,2341005580.329895,10337239025.041656,11644900253.295897,1958236728.1723022,5960080123.901368,,2791404062.271118,46906768636.779785,5450760028.839111,,2167697408.0,4914886299.209595,3682601300.354004,859359924.1447449,22917681152.0,,611328206.8103647,2243999958.03833,286229996.6812134,,84980002.40325928,4435199890.136719,8651709879.402246,2023007104.0,30720690387.72583,,65917156420.89844,922832421.6413498,1366295168.0,5246140129.089356,3886138828.681851,8243350086.212158,4871356152.534485,14226300201.416016,,217799991.60766602,291109705810.5469,5284693414.077759,5364302542.877197,2309890028.9535522,1675202163.6555943,148639531860.35156,575190010.0708008,100255110305.78615,18559799423.217773,12094810333.251953,4881985024.0,13505551326.720001
2021-05-20,659550018.310547,12789369857.788086,2603981934.4329834,10642236536.79747,12097250000.0,2024138940.1435852,6063320053.100586,,2909753046.7033386,48701242726.44043,5397839899.06311,,2167697408.0,5030685639.762878,3764231300.354004,855619793.4150696,22917681152.0,,613507528.5158042,2271499958.03833,287244992.25616455,,86940000.53405762,4651799926.7578125,10008811086.536129,2023007104.0,30771509127.616882,,68543251013.18359,974521102.4045944,1366295168.0,5378680114.746095,4269729269.2889624,8542799935.340881,5122286158.218384,14942399597.167969,,217799991.60766602,299332592010.49805,5315100865.6311035,5470423390.50293,2342780057.9071045,1675202163.6555943,154292303100.58594,607199987.411499,102659911834.7168,19278000240.325928,12656280166.625978,4881985024.0,14288200399.488955
2021-05-21,673500022.8881836,12432880142.211914,2639217321.31958,10674076715.390337,12080650253.295898,2055521059.8564148,6034320053.100586,,2828132929.944992,46812872273.55957,5242859956.741333,,2167697408.0,5142537440.948486,3726137466.430664,822534304.3899536,22917681152.0,,612705977.1135843,2227500000.0,288549994.46868896,,85190000.53405762,4704000091.552734,10599248999.420427,2023007104.0,31101839418.411255,,68150931756.5918,1008560000.0,1366295168.0,5418159942.626953,4368671536.3200655,8542799935.340881,5035186542.396545,15180000000.0,,218019996.6430664,298321102905.27344,5306091489.028931,5400716384.124756,2312420086.8606567,1675202163.6555943,155463239379.8828,619740022.6593018,100205007247.92482,19810349807.739258,14000350555.419922,4881985024.0,14288200399.488955
2021-05-24,681750011.4440918,12383950355.529783,2750080000.0,10803952302.241821,12340439392.089844,2122992258.1005096,6026780212.402344,,2824052031.135559,47011098636.779785,5280660100.93689,,2167697408.0,5083321840.553284,3894295067.138672,847851880.2452087,22917681152.0,,610090098.7615219,2207150058.7463374,288840001.1062622,,84630001.06811523,4850399780.2734375,10959234755.46863,2023007104.0,32042009127.616882,,68161398309.32617,1032513247.0989227,1366295168.0,5633420028.686523,4548289142.120547,8571050043.106079,4966751158.218384,15018299446.105957,,218240001.6784668,306032315979.00397,5364090720.291138,5537008927.001953,2259290077.2094727,1316230345.6467474,160201616821.28906,652740022.6593018,105685948471.06934,19841850528.71704,12719070388.793945,4881985024.0,14889776808.960001
2021-05-25,701550006.8664551,12591320213.317871,2861801934.4329834,11005887811.303255,12138750000.0,2063366440.1435852,6036059982.299805,,2864861992.21611,50581271364.13574,5095439826.965332,,2167697408.0,5164907500.0,3864364316.253662,857345978.0502319,22917681152.0,,610755813.3965743,2180199966.430664,287680002.2125244,,87079997.0626831,4563599853.515625,10959234755.46863,2023007104.0,31813321163.17749,,68066189190.67383,979563897.5954056,1366295168.0,5546000000.0,4741606727.96703,8333750000.0,4811216158.218384,15434100151.062012,,218240001.6784668,307793492736.81647,5355080914.077759,5652493390.50293,2120140028.9535522,1316230345.6467474,157480000000.0,665940010.0708008,108316198471.06934,20393099327.087402,12166699722.290041,4881985024.0,14617421138.84466
2021-05-26,700439987.1826172,13281000000.0,2937429226.2268066,11180171009.670113,12408500000.0,2141821440.1435852,6066799911.499023,,2991372968.864441,50395564091.4917,5046300144.195557,,2167697408.0,5330710679.130554,3828446916.96167,907981184.6351624,22917681152.0,3564053845.062256,607669557.6806942,2203849983.215332,290000000.0,,87500000.0,5051999816.894531,11024002128.943338,2023007104.0,31991190387.72583,,69065678039.55078,1019906319.2367554,1366295168.0,5652220100.402831,5175429557.545497,8870499892.2348,4950160774.040222,15919200553.894043,3118490066.5283203,219559989.92919922,311030294189.4531,5445176828.155518,5946926384.124756,2198569893.8369746,1316230345.6467474,157331404418.9453,656699987.411499,111392338165.2832,20780550384.52148,13338780166.625977,4881985024.0,14617421138.84466
