Date,PYPL,SQ,SHOP,LC,GPN,CATM,GDOT,BL,ADYEY,STNE,LMND,ROOT,AFRM,INTU,OPEN,NCNO,BILL,UPST,GWRE,COIN,SOFI,FUSE,MELI,PAGS,LU,FTCV,DLO,MQ,AVLR,GSKY,QD,OSCR,RDFN,FLYW,BTRS,ZG,XROLF,AFTPY,CLOV,MILE,ALKT,BHG,COMP,DCT,ENV,EVER,HIPO,INTA,KPLT,PAY,PAYO,QTWO,FCH.L,SZL.AX,XRO.AX,ML,FLT,VIRT,LSPD.TO,KUX.SI,LDI
2016-10-06,48778520370.4834,3962880157.470703,3712800025.9399414,2359500000.0,12149949684.143066,2487779937.744141,1168920003.8909912,,,,,,,27022409637.45117,,,,,4351530044.555664,,,,8169968017.578125,,,,,,,,,,,,,6304200057.983398,1840284610.4621887,,,,,,,,1572509986.8774414,,,,,,,1138399963.3789062,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-07,48414321296.69189,3949119842.529297,3770600051.879883,2320500000.0,11693056106.567383,2486759914.3981934,1164329996.1090086,,,,,,,26677298812.866215,,,,,4358829933.166504,,,,8325218811.035156,,,,,,,,,,,,,6266199913.024902,1840284610.4621887,,,,,,,,1560470039.3676758,,,,,,,1134800033.569336,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-10,48390040740.9668,3945680091.8579097,3717049961.090088,2355600059.509277,11629985656.738281,2546430015.563965,1170959953.3081055,,,,,,,26851101196.28906,,,,,4402630100.250245,,,,8297151489.2578125,,,,,,,,,,,,,6355500144.958496,1891022694.7689056,,,,,,,,1589710052.4902344,,,,,,,1147600021.3623047,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-11,47576658332.8247,3845920104.9804683,3595499935.1501465,2258100059.509277,11337695617.675781,2555099922.180176,1158719964.9810789,,,,,,,26563097122.192383,,,,,4269770122.528076,,,,8090150207.519531,,,,,,,,,,,,,6190200347.900391,1810115973.8445282,,,,,,,,1548000000.0,,,,,,,1127200012.2070312,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-12,47989418518.066414,3876880157.470703,3603149948.120117,2160600059.509277,11354616813.659668,2559689929.9621577,1159739988.3270264,,,,,,,26697169647.216797,,,,,4274880100.250245,,,,8034891723.6328125,,,,,,,,,,,,,6195900115.966797,1810115973.8445282,,,,,,,,1567350032.8063965,,,,,,,1126800003.0517578,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-13,47588800926.208496,3849359855.6518555,3577650012.9699707,2145000000.0,11283852653.503418,2526540046.6918945,1147500000.0,,,,,,,26515928741.45508,,,,,4261740077.972411,,,,7388012634.277344,,,,,,,,,,,,,6080000000.0,1756635357.542038,,,,,,,,1559610019.683838,,,,,,,1124000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-14,47637362037.65869,3825279960.632324,3639699974.0600586,2098199970.2453613,11236163711.547852,2522459953.3081055,1146989988.3270264,,,,,,,26563097122.192383,,,,,4258820011.138916,,,,7325736816.40625,,,,,,,,,,,,,6186400260.925293,1756635357.542038,,,,,,,,1529940078.7353516,,,,,,,1126399993.8964844,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-17,47928719444.2749,3759920104.9804683,3571700038.909912,1946100059.509277,11231548194.885254,2507159992.2180176,1159739988.3270264,,,,,,,26535787765.50293,,,,,4224509922.027589,,,,7363014892.578125,,,,,,,,,,,,,6247200202.941895,1756635357.542038,,,,,,,,1530370006.5612793,,,,,,,1120000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-18,48353622222.90039,3900960052.4902344,3610799961.090088,1914899940.490723,11416149940.490723,2488290046.6918945,1157190027.2369382,,,,,,,26602823043.823242,,,,,4252250000.0,,,,7346349731.4453125,,,,,,,,,,,,,6359300231.933594,1756635357.542038,,,,,,,,1543269973.7548828,,,,,,,1134000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-19,48851362037.65869,3887200065.6127934,3688149948.120117,1977300029.754639,11440767211.914062,2535209953.3081055,1159229976.6540527,,,,,,,26861031692.504883,,,,,4242759922.027589,,,,7430551696.777344,,,,,,,,,,,,,6332700347.900391,1734694447.6890564,,,,,,,,1569500000.0,,,,,,,1130000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-20,48669260185.2417,3849359855.6518555,3667750129.699707,1895399940.490723,11320773239.135742,2510220062.25586,1157190027.2369382,,,,,,,26789026245.11719,,,,,4237649944.30542,,,,7501600524.902344,,,,,,,,,,,,,6317500000.0,1734694447.6890564,,,,,,,,1579820072.1740723,,,,,,,1121999969.4824219,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-21,53598101852.41699,3894079895.0195317,3695799961.090088,1891500000.0,11211545257.56836,2507159992.2180176,1163309972.7630618,,,,,,,26925580902.09961,,,,,4217210033.416748,,,,7627905151.3671875,,,,,,,,,,,,,6374499855.041504,1734694447.6890564,,,,,,,,1582399967.1936035,,,,,,,1150000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-24,53258178703.30811,3904400131.225586,3728100051.879883,1899300029.754639,11393078269.958496,2522970062.25586,1172489988.3270264,,,,,,,27218549240.112305,,,,,4258820011.138916,,,,7579226257.324219,,,,,,,,,,,,,6452399826.049805,1734694447.6890564,,,,,,,,1612500000.0,,,,,,,1174000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
